code,comment
"RCC_APB2PeriphClockCmd(RCC_APB2Periph_TIM1, ENABLE)",TIM1 clock enable
"RCC_AHB1PeriphClockCmd(RCC_AHB1Periph_GPIOE, ENABLE)",GPIOE clock enable
GPIO_InitStructure.GPIO_Pin = GPIO_Pin_9 | GPIO_Pin_11 | GPIO_Pin_13 | GPIO_Pin_14,"TIM1 CH1 (PE9,FMU_CH4), TIM1 CH2 (PE11,FMU_CH3), TIM1 CH3 (PE13,FMU_CH2) and TIM1 CH4 (PE14,FMU_CH1)"
GPIO_InitStructure.GPIO_Mode = GPIO_Mode_AF,Set GPIOE pins to alternate function mode for TIM1
"GPIO_Init(GPIOE, &GPIO_InitStructure)",Initialize GPIOE pins for TIM1 PWM channels
"GPIO_PinAFConfig(GPIOE, GPIO_PinSource9, GPIO_AF_TIM1)",Connect PE9 to TIM1 alternate function
"GPIO_PinAFConfig(GPIOE, GPIO_PinSource11, GPIO_AF_TIM1)",Connect PE11 to TIM1 alternate function
"GPIO_PinAFConfig(GPIOE, GPIO_PinSource13, GPIO_AF_TIM1)",Connect PE13 to TIM1 alternate function
"GPIO_PinAFConfig(GPIOE, GPIO_PinSource14, GPIO_AF_TIM1)",Connect PE14 to TIM1 alternate function
"RCC_APB1PeriphClockCmd(RCC_APB1Periph_TIM4, ENABLE)",TIM4 clock enable
"RCC_AHB1PeriphClockCmd(RCC_AHB1Periph_GPIOD, ENABLE)",GPIOD clock enable
GPIO_InitStructure.GPIO_Pin = GPIO_Pin_13 | GPIO_Pin_14,"TIM4 CH2 (PD13,FMU_CH5), TIM4 CH3 (PD14,FMU_CH6)"
GPIO_InitStructure.GPIO_Mode = GPIO_Mode_AF,Set GPIOD pins to alternate function mode for TIM4
"GPIO_Init(GPIOD, &GPIO_InitStructure)",Initialize GPIOD pins for TIM4 PWM channels
"GPIO_PinAFConfig(GPIOD, GPIO_PinSource13, GPIO_AF_TIM4)",Connect PD13 to TIM4 alternate function
"GPIO_PinAFConfig(GPIOD, GPIO_PinSource14, GPIO_AF_TIM4)",Connect PD14 to TIM4 alternate function
RCC_GetClocksFreq(&rcc_clocks),Get system clock frequencies for TIM1 and TIM4
PrescalerValue = (uint16_t)((rcc_clocks.PCLK2_Frequency * 2 / TIMER_FREQUENCY) - 1),Compute prescaler value for TIM1 frequency of 3 MHz
TIM_TimeBaseStructure.TIM_Period = PWM_ARR(_pwm_freq) - 1,Set TIM1 period for 50 Hz PWM frequency
TIM_TimeBaseStructure.TIM_Prescaler = PrescalerValue,Set TIM1 prescaler for 3 MHz timer frequency
"TIM_TimeBaseInit(TIM1, &TIM_TimeBaseStructure)",Configure TIM1 time base for PWM
TIM_OCInitStructure.TIM_OCMode = TIM_OCMode_PWM1,Set TIM1 output compare to PWM1 mode
TIM_OCInitStructure.TIM_OutputState = TIM_OutputState_Enable,Enable TIM1 output compare state
"TIM_OC1Init(TIM1, &TIM_OCInitStructure)",Initialize TIM1 channel 1 for PWM
"TIM_OC1PreloadConfig(TIM1, TIM_OCPreload_Enable)",Enable TIM1 channel 1 preload
"TIM_OC2Init(TIM1, &TIM_OCInitStructure)",Initialize TIM1 channel 2 for PWM
"TIM_OC2PreloadConfig(TIM1, TIM_OCPreload_Enable)",Enable TIM1 channel 2 preload
"TIM_OC3Init(TIM1, &TIM_OCInitStructure)",Initialize TIM1 channel 3 for PWM
"TIM_OC3PreloadConfig(TIM1, TIM_OCPreload_Enable)",Enable TIM1 channel 3 preload
"TIM_OC4Init(TIM1, &TIM_OCInitStructure)",Initialize TIM1 channel 4 for PWM
"TIM_OC4PreloadConfig(TIM1, TIM_OCPreload_Enable)",Enable TIM1 channel 4 preload
"TIM_ARRPreloadConfig(TIM1, ENABLE)",Enable TIM1 auto-reload preload
PrescalerValue = (uint16_t)((rcc_clocks.PCLK1_Frequency * 2 / TIMER_FREQUENCY) - 1),Compute prescaler value for TIM4 frequency of 3 MHz
TIM_TimeBaseStructure.TIM_Prescaler = PrescalerValue,Set TIM4 prescaler for 3 MHz timer frequency
"TIM_TimeBaseInit(TIM4, &TIM_TimeBaseStructure)",Configure TIM4 time base for PWM
"TIM_OC2Init(TIM4, &TIM_OCInitStructure)",Initialize TIM4 channel 2 for PWM
"TIM_OC2PreloadConfig(TIM4, TIM_OCPreload_Enable)",Enable TIM4 channel 2 preload
"TIM_OC3Init(TIM4, &TIM_OCInitStructure)",Initialize TIM4 channel 3 for PWM
"TIM_OC3PreloadConfig(TIM4, TIM_OCPreload_Enable)",Enable TIM4 channel 3 preload
"TIM_ARRPreloadConfig(TIM4, ENABLE)",Enable TIM4 auto-reload preload
,
"rt_inline void _pwm_write(uint8_t chan_id, float duty_cyc) {    _timer_set_compare[chan_id](PWM_TIMER(chan_id), PWM_ARR(_pwm_freq) * duty_cyc);    _pwm_fmu_duty_cyc[chan_id] = duty_cyc;}",Writes PWM duty cycle to specified channel
"rt_inline void _pwm_read(uint8_t chan_id, float* duty_cyc) {    *duty_cyc = _pwm_fmu_duty_cyc[chan_id];}",Reads PWM duty cycle from specified channel
"static rt_err_t motor_configure(motor_dev_t motor, struct motor_configure* cfg) {    motor->config = *cfg;    DRV_DBG(""aux motor configured: min:%d max:%d\n"", motor->config.motor_min_value, motor->config.motor_max_value);    return RT_EOK;}",Configures motor parameters
"static rt_size_t motor_read(motor_dev_t motor, rt_uint16_t chan_mask, rt_uint16_t* chan_val, rt_size_t size) {    rt_uint16_t* index = chan_val;    float dc;    for (uint8_t i = 0; i < MAX_PWM_OUT_CHAN; i++) {        if (chan_mask & (1 << i)) {            _pwm_read(i, &dc);            *index = 1000000 / _pwm_freq * dc;            index++;        }    }    return size;}",Reads motor PWM values for specified channels
"static rt_size_t motor_write(motor_dev_t motor, rt_uint16_t chan_mask, const rt_uint16_t* chan_val, rt_size_t size) {    const rt_uint16_t* index = chan_val;    rt_uint16_t val;    float dc;    DRV_DBG(""aux motor write: "");    for (uint8_t i = 0; i < MAX_PWM_OUT_CHAN; i++) {        if (chan_mask & (1 << i)) {            /* constrain motor value */            val = constrain_uint16(*index, motor->config.motor_min_value, motor->config.motor_max_value);            /* calculate pwm duty cycle */            dc = VAL_TO_DC(val);            /* update pwm signal */            _pwm_write(i, dc);            DRV_DBG(""chan[%d]=%d %.2f "", i + 1, *index, dc);            index++;        }    }    DRV_DBG(""\n"");    return size;}",Writes PWM values to specified motor channels
"rt_err_t pwm_drv_init(void) {    rt_err_t ret;    static struct motor_device motor;    struct motor_configure motor_config = MOTOR_CONFIG_DEFAULT;    _pwm_gpio_init();    _pwm_timer_init();    /* Disable output by default, need ne enabled by uper layer */    TIM_Cmd(TIM1, DISABLE);    TIM_CtrlPWMOutputs(TIM1, DISABLE);    TIM_Cmd(TIM4, DISABLE);    /* register motor hal device */    motor.channel_num = MAX_PWM_OUT_CHAN;    motor.config = motor_config;    motor.ops = &_motor_ops;    ret = hal_motor_register(&motor, ""motor_aux"", RT_DEVICE_FLAG_RDWR, NULL);    return ret;}",Initializes PWM driver for motor control
void SysTick_Handler(void) {      HAL_IncTick();      osSystickHandler();},Handles SysTick interrupt for HAL and RTOS
void ETH_IRQHandler(void) {      HAL_ETH_IRQHandler(&EthHandle);},Handles Ethernet interrupt
"static void MainThread(void const * argument) {       struct netconn *pListeningConnection, *pAcceptedConnection;      err_t err;              tcpip_init(NULL, NULL);      Netif_Config();            gnetif.ip_addr.addr = 0;      gnetif.netmask.addr = 0;      gnetif.gw.addr = 0;      printf(""Waiting for DHCP reply...\n"");      dhcp_start(&gnetif);      while (!*((volatile u32_t *)&gnetif.ip_addr.addr))            asm(""nop"");            printf(""Got IP address: %d.%d.%d.%d\n"",        ip4_addr1_16_val(gnetif.ip_addr),        ip4_addr2_16_val(gnetif.ip_addr),        ip4_addr3_16_val(gnetif.ip_addr),        ip4_addr4_16_val(gnetif.ip_addr));              pListeningConnection = netconn_new(NETCONN_TCP);      if (!pListeningConnection)            asm(""bkpt 255"");      err = netconn_bind(pListeningConnection, NULL, 80);            if (err != ERR_OK)            asm(""bkpt 255"");      netconn_listen(pListeningConnection);        for (;;)      {            err = netconn_accept(pListeningConnection, &pAcceptedConnection);            if (err == ERR_OK)            {                  struct netbuf *inbuf = NULL;                  err = netconn_recv(pAcceptedConnection, &inbuf);                  if (err != ERR_OK)                        asm(""bkpt 255"");                  netbuf_delete(inbuf);                                    static const char HelloWorld[] = ""HTTP/1.0 200 OK\r\nContent-Type: text/html\r\n\r\n<html><body><h1>Hello, World</h1>This message is shown to you by the lwIP example project.</body></html>"";                  netconn_write(pAcceptedConnection,                        (const unsigned char*)HelloWorld,                        sizeof(HelloWorld),                        NETCONN_NOCOPY);                  netconn_delete(pAcceptedConnection);            }      }}",Main thread for TCP/IP server
"static void Netif_Config(void) {      ip_addr_t ipaddr;      ip_addr_t netmask;      ip_addr_t gw;         IP4_ADDR(&ipaddr, IP_ADDR0, IP_ADDR1, IP_ADDR2, IP_ADDR3);      IP4_ADDR(&netmask, NETMASK_ADDR0, NETMASK_ADDR1, NETMASK_ADDR2, NETMASK_ADDR3);      IP4_ADDR(&gw, GW_ADDR0, GW_ADDR1, GW_ADDR2, GW_ADDR3);        netif_add(&gnetif, &ipaddr, &netmask, &gw, NULL, &ethernetif_init, &tcpip_input);      netif_set_default(&gnetif);        if (netif_is_link_up(&gnetif))            netif_set_up(&gnetif);      else            netif_set_down(&gnetif);}",Configures network interface
static void MPU_Config(void) {      MPU_Region_InitTypeDef MPU_InitStruct;        /* Disable the MPU */      HAL_MPU_Disable();      /* Configure the MPU attributes as WT for SRAM */      MPU_InitStruct.Enable = MPU_REGION_ENABLE;      MPU_InitStruct.BaseAddress = 0x20010000;      MPU_InitStruct.Size = MPU_REGION_SIZE_256KB;      MPU_InitStruct.AccessPermission = MPU_REGION_FULL_ACCESS;      MPU_InitStruct.IsBufferable = MPU_ACCESS_NOT_BUFFERABLE;      MPU_InitStruct.IsCacheable = MPU_ACCESS_CACHEABLE;      MPU_InitStruct.IsShareable = MPU_ACCESS_NOT_SHAREABLE;      MPU_InitStruct.Number = MPU_REGION_NUMBER0;      MPU_InitStruct.TypeExtField = MPU_TEX_LEVEL0;      MPU_InitStruct.SubRegionDisable = 0x00;      MPU_InitStruct.DisableExec = MPU_INSTRUCTION_ACCESS_ENABLE;      HAL_MPU_ConfigRegion(&MPU_InitStruct);      /* Enable the MPU */      HAL_MPU_Enable(MPU_PRIVILEGED_DEFAULT);},Configure the MPU attributes as Write Through for SRAM1/2
RCC_OscInitStruct.OscillatorType = RCC_OSCILLATORTYPE_HSI; RCC_OscInitStruct.HSIState = RCC_HSI_ON; RCC_OscInitStruct.HSICalibrationValue = RCC_HSICALIBRATION_DEFAULT; RCC_OscInitStruct.PLL.PLLState = RCC_PLL_NONE;,Initializes the RCC Oscillators
RCC_ClkInitStruct.ClockType = RCC_CLOCKTYPE_HCLK|RCC_CLOCKTYPE_SYSCLK|RCC_CLOCKTYPE_PCLK1|RCC_CLOCKTYPE_PCLK2; RCC_ClkInitStruct.SYSCLKSource = RCC_SYSCLKSOURCE_HSI; RCC_ClkInitStruct.AHBCLKDivider = RCC_SYSCLK_DIV1; RCC_ClkInitStruct.APB1CLKDivider = RCC_HCLK_DIV1; RCC_ClkInitStruct.APB2CLKDivider = RCC_HCLK_DIV1;,"Initializes the CPU, AHB and APB buses clocks"
CPU_CACHE_Enable(),Enable the CPU Cache
HAL_Init(),STM32F7xx HAL library initialization
SystemClock_Config(),Configure the system clock to 200 MHz
BSP_SDRAM_Init(),Initializes the SDRAM device
__HAL_RCC_CRC_CLK_ENABLE(),Enable the CRC Module
GUI_Init(),Init the STemWin GUI Library
WM_MULTIBUF_Enable(1),Enable Window Manager Multibuffering
RCC_OscInitStruct.OscillatorType = RCC_OSCILLATORTYPE_HSE; RCC_OscInitStruct.HSEState = RCC_HSE_ON; RCC_OscInitStruct.PLL.PLLState = RCC_PLL_ON; RCC_OscInitStruct.PLL.PLLSource = RCC_PLLSOURCE_HSE; RCC_OscInitStruct.PLL.PLLM = 25; RCC_OscInitStruct.PLL.PLLN = 400; RCC_OscInitStruct.PLL.PLLP = RCC_PLLP_DIV2; RCC_OscInitStruct.PLL.PLLQ = 9;,Enable HSE Oscillator and activate PLL with HSE as source
HAL_PWREx_EnableOverDrive(),Enable OverDrive mode
TM_RCC_InitSystem(),Init system clock for maximum system speed
HAL_Init(),Init HAL layer
TM_DELAY_Init(),Initialize delay module
"TM_USART_Init(USART, TM_USART_PinsPack_1, 921600)",Init USART
"TM_SPI_Init(SPI, SPI_PP)",Init SPI
TM_SPI_DMA_Init(SPI),Init SPI DMA
"TM_SPI_DMA_Transmit(SPI, SPI_TX, SPI_RX, TX_SIZE)",Send via SPI with DMA
TM_DMA_TransferCompleteHandler(DMA_Stream_TypeDef* DMA_Stream),DMA transfer complete callback
LCD_Init(),Initialize LCD
"HAL_UART_Receive_IT(&huart1, (uint8_t*) rxBuffer, 1)",Start UART reception in interrupt mode
HAL_UART_RxCpltCallback(UART_HandleTypeDef *huart),UART receive complete callback
USART1_IRQHandler(),This function handles USART1 interrupt
RCC_OscInitStruct.OscillatorType = RCC_OSCILLATORTYPE_HSE; RCC_OscInitStruct.HSEState = RCC_HSE_ON; RCC_OscInitStruct.HSEPredivValue = RCC_HSE_PREDIV_DIV1; RCC_OscInitStruct.HSIState = RCC_HSI_ON; RCC_OscInitStruct.PLL.PLLState = RCC_PLL_ON; RCC_OscInitStruct.PLL.PLLSource = RCC_PLLSOURCE_HSE; RCC_OscInitStruct.PLL.PLLMUL = RCC_PLL_MUL9;,Initializes the RCC Oscillators
RCC_ClkInitStruct.ClockType = RCC_CLOCKTYPE_HCLK | RCC_CLOCKTYPE_SYSCLK | RCC_CLOCKTYPE_PCLK1 | RCC_CLOCKTYPE_PCLK2; RCC_ClkInitStruct.SYSCLKSource = RCC_SYSCLKSOURCE_PLLCLK; RCC_ClkInitStruct.AHBCLKDivider = RCC_SYSCLK_DIV1; RCC_ClkInitStruct.APB1CLKDivider = RCC_HCLK_DIV2; RCC_ClkInitStruct.APB2CLKDivider = RCC_HCLK_DIV1;,"Initializes the CPU, AHB and APB buses clocks"
MX_USART1_UART_Init(),USART1 Initialization Function
HAL_UART_MspInit(UART_HandleTypeDef* uartHandle),"Configure USART1 and USART2 GPIO, clock, DMA, and interrupts"
HAL_UART_MspDeInit(UART_HandleTypeDef* uartHandle),"Deinitialize USART1 and USART2 GPIO, clock, DMA, and interrupts"
PUTCHAR_PROTOTYPE,Retargets the C library printf function to the USART
UsartReceive_IDLE(UART_HandleTypeDef *huart),This function handles USART1 IDLE interrupt
__HAL_RCC_USART1_CLK_ENABLE(),Peripheral clock enable for USART1
__HAL_RCC_USART2_CLK_ENABLE(),Peripheral clock enable for USART2
"HAL_GPIO_Init(DEV_TX_GPIO_Port, &GPIO_InitStruct)",Configure USART1 TX and RX GPIO pins
HAL_DMA_Init(&hdma_usart1_rx),Peripheral DMA init for USART1
HAL_DMA_Init(&hdma_usart2_rx),Peripheral DMA init for USART2
"HAL_NVIC_SetPriority(USART1_IRQn, 5, 0); HAL_NVIC_EnableIRQ(USART1_IRQn)",Peripheral interrupt init for USART1
"HAL_NVIC_SetPriority(USART2_IRQn, 5, 0); HAL_NVIC_EnableIRQ(USART2_IRQn)",Peripheral interrupt init for USART2
"HAL_UART_Transmit(&huart2, (uint8_t *)&ch, 1, 0xFFFF)",Transmit character via USART2 for printf
"HAL_UART_Receive_DMA(&huart1,UsartType.RX_pData,RX_LEN)",Restart UART DMA reception
RCC_OscInitStruct.OscillatorType = RCC_OSCILLATORTYPE_HSE; RCC_OscInitStruct.HSEState = RCC_HSE_ON; RCC_OscInitStruct.HSEPredivValue = RCC_HSE_PREDIV_DIV1; RCC_OscInitStruct.HSIState = RCC_HSI_ON; RCC_OscInitStruct.PLL.PLLState = RCC_PLL_ON; RCC_OscInitStruct.PLL.PLLSource = RCC_PLLSOURCE_HSE; RCC_OscInitStruct.PLL.PLLMUL = RCC_PLL_MUL6;,Initializes the RCC Oscillators
PeriphClkInit.PeriphClockSelection = RCC_PERIPHCLK_USB; PeriphClkInit.UsbClockSelection = RCC_USBCLKSOURCE_PLL;,Configure USB peripheral clock
"HAL_GPIO_Init(ON_BOARD_LED_GPIO_Port, &GPIO_InitStruct)",Configure GPIO pin for onboard LED
RCC_OscInitStruct.OscillatorType = RCC_OSCILLATORTYPE_HSI; RCC_OscInitStruct.HSIState = RCC_HSI_ON; RCC_OscInitStruct.HSICalibrationValue = RCC_HSICALIBRATION_DEFAULT; RCC_OscInitStruct.PLL.PLLState = RCC_PLL_ON; RCC_OscInitStruct.PLL.PLLSource = RCC_PLLSOURCE_HSI; RCC_OscInitStruct.PLL.PLLM = 13; RCC_OscInitStruct.PLL.PLLN = 195; RCC_OscInitStruct.PLL.PLLP = RCC_PLLP_DIV2; RCC_OscInitStruct.PLL.PLLQ = 4;,Initializes the RCC Oscillators
MX_USART3_UART_Init(),USART3 Initialization Function
"HAL_GPIO_Init(GPIOB, &GPIO_InitStruct)",Configure GPIO pin for output
"HAL_UART_Transmit_IT(&huart1, tx_data, strlen((const char *)tx_data))",Transmit data via UART in interrupt mode
"HAL_UART_Receive_IT(&huart1, &d, 1 * sizeof(uint8_t))",Receive data via UART in interrupt mode
PeriphClkInit.PeriphClockSelection = RCC_PERIPHCLK_USART1; PeriphClkInit.Usart1ClockSelection = RCC_USART1CLKSOURCE_PCLK2;,Configure USART1 peripheral clock
nandFlashInit(),Initialize NAND flash
MX_FMC_Init(),Initialize FMC for NAND flash
HAL_NAND_Reset(&hnand1),Reset NAND flash
"HAL_NVIC_SetPriority(EXTI9_5_IRQn, 15, 15); HAL_NVIC_EnableIRQ(EXTI9_5_IRQn)",Enable and set EXTI interrupt for NAND flash
nandFlashEraseBlock(uint32_t block),Erase a NAND flash block
"nandFlashReadPage(uint32_t block, uint32_t page, void *buffer)",Read a NAND flash page with ECC correction
osMutexCreate(&sMutex),Create mutex for NAND flash access
osMutexLock(&sMutex),Lock mutex for NAND flash access
osMutexUnlock(&sMutex),Unlock mutex for NAND flash access
Stm32_Clock_Init(RCC_PLL_MUL9),Configure the system clock
uart_init(115200),Initialize UART with 115200 baud rate
"BSP_PB_Init(BUTTON_KEY, BUTTON_MODE_GPIO);",Configure Key Button
RngHandle.Instance = RNG; if(HAL_RNG_Init(&RngHandle) != HAL_OK) { Error_Handler(); },Configure the RNG peripheral
for(counter = 0; counter < 8; counter++) { aRandom32bit[counter] = HAL_RNG_GetRandomNumber(&RngHandle); },Generate 8 Random 32bit Numbers
"RCC_ClkInitStruct.ClockType = (RCC_CLOCKTYPE_SYSCLK | RCC_CLOCKTYPE_HCLK | RCC_CLOCKTYPE_PCLK1 | RCC_CLOCKTYPE_PCLK2); RCC_?????InitStruct.SYSCLKSource = RCC_SYSCLKSOURCE_PLLCLK; RCC_ClkInitStruct.AHBCLKDivider = RCC_SYSCLK_DIV1; RCC_ClkInitStruct.APB1CLKDivider = RCC_HCLK_DIV4; RCC_ClkInitStruct.APB2CLKDivider = RCC_HCLK_DIV2; HAL_RCC_ClockConfig(&RCC_ClkInitStruct, FLASH_LATENCY_5);","Select PLL as system clock source and configure the HCLK, PCLK1 and PCLK2 clocks dividers"
static void NonSecure_Init(void) {  funcptr_NS NonSecure_ResetHandler;  SCB_NS->VTOR = VTOR_TABLE_NS_START_ADDR;  /* Set non-secure main stack (MSP_NS) */  __TZ_set_MSP_NS((*(uint32_t *)VTOR_TABLE_NS_START_ADDR));  /* Get non-secure reset handler */  NonSecure_ResetHandler = (funcptr_NS)(*((uint32_t *)((VTOR_TABLE_NS_START_ADDR) + 4U)));  /* Start non-secure state software application */  NonSecure_ResetHandler();},Non-secure call function responsible for Non-secure initialization and switch to non-secure state
"int fputc(int ch, FILE *f) {    while (!(CDC_Transmit_FS((uint8_t *)&ch, 1) == USBD_OK))        ;    while (!(CDC_Transmit_FS((uint8_t *)&ch, 1) == USBD_BUSY))        ;    return ch;}",Redirects printf to USB CDC
"int fputc(int ch, FILE *f) {    while (!(CDC_Transmit_FS((uint8_t *)&ch, 1) == USBD_OK))        ;    return ch;}",Redirects printf to USB CDC
MX_USART1_UART_Init(),Initialize USART1
"HAL_GPIO_WritePin(GPIOC, LD3_Pin, GPIO_PIN_SET)",system ready LED
"HAL_NVIC_SetPriority(USART1_IRQn, 1, 0); HAL_NVIC_EnableIRQ(USART1_IRQn)",set USART-1 interrupt preempt priority 1 and enable USART-1 interrupt
"HAL_UART_Transmit(&huart1, serial_data, 3, HAL_MAX_DELAY)",transmit data
RCC_OscInitStruct.OscillatorType = RCC_OSCILLATORTYPE_HSI|RCC_OSCILLATORTYPE_LSI; RCC_OscInitStruct.HSIState = RCC_HSI_ON; RCC_OscInitStruct.HSICalibrationValue = 16; RCC_OscInitStruct.LSIState = RCC_LSI_ON; RCC_OscInitStruct.PLL.PLLState = RCC_PLL_ON; RCC_OscInitStruct.PLL.PLLSource = RCC_PLLSOURCE_HSI; RCC_OscInitStruct.PLL.PLLMUL = RCC_PLL_MUL6; RCC_OscInitStruct.PLL.PLLDIV = RCC_PLL_DIV3;,Initializes the RCC Oscillators
PeriphClkInit.PeriphClockSelection = RCC_PERIPHCLK_RTC; PeriphClkInit.RTCClockSelection = RCC_RTCCLKSOURCE_LSI;,Configure RTC peripheral clock
"HAL_UART_Receive_IT_IDLE(&huart6, UART_RxBuffer, 2048)",Start UART Receive With IDLE Interrupt
RCC_OscInitStruct.OscillatorType = RCC_OSCILLATORTYPE_HSE; RCC_OscInitStruct.HSEState = RCC_HSE_ON; RCC_OscInitStruct.PLL.PLLState = RCC_PLL_ON; RCC_OscInitStruct.PLL.PLLSource = RCC_PLLSOURCE_HSE; RCC_OscInitStruct.PLL.PLLM = 6; RCC_OscInitStruct.PLL.PLLN = 168; RCC_OscInitStruct.PLL.PLLP = RCC_PLLP_DIV2; RCC_OscInitStruct.PLL.PLLQ = 7;,"Initializes the CPU, AHB and APB buses clocks"
__HAL_RCC_PWR_CLK_ENABLE(); __HAL_PWR_VOLTAGESCALING_CONFIG(PWR_REGULATOR_VOLTAGE_SCALE1),Configure the main internal regulator output voltage
"_Error_Handler(__FILE__, __LINE__)",This function is executed in case of error occurrence
halInit(),"HAL initialization, this also initializes the configured device drivers and performs the board-specific initializations"
SwoInit(),init SWO as soon as possible to make it available to output ASAP
osKernelInitialize(),The kernel is initialized but not started yet
LaunchCLR((uint32_t)&__nanoImage_end__),launch nanoCLR
"sduObjectInit(&SDU1); sduStart(&SDU1, &serusbcfg)",Initializes a serial-over-USB CDC driver
"usbDisconnectBus(serusbcfg.usbp); chThdSleepMilliseconds(100); usbStart(serusbcfg.usbp, &usbcfg); usbConnectBus(serusbcfg.usbp)",Activates the USB driver and then the USB bus pull-up on D+
osKernelStart(),"start kernel, after this main() will behave like a thread with priority osPriorityNormal"
BlockStorageList_Initialize(); BlockStorage_AddDevices(),initialize block storage list and devices
"palSetPad(GPIOA, GPIOA_USER_LED); osDelay(500); palClearPad(GPIOA, GPIOA_USER_LED); osDelay(500)",Toggle user LED with 500ms delay
tos_tf_module_mqtt_conn(init_params),Establish MQTT connection
"tos_tf_module_mqtt_publ(report_topic_name, QOS0, payload)",Publish data to MQTT topic
"tos_mail_q_create(&mail_q, pm2d5_value_pool, 3, sizeof(pm2d5_data_u))",Create mailbox queue for PM2.5 data
pm2d5_parser_init(),Initialize PM2.5 parser
HAL_NVIC_DisableIRQ(USART3_4_IRQn); HAL_NVIC_EnableIRQ(USART3_4_IRQn),Disable and enable USART3/4 interrupt for mailbox operations
HAL_NVIC_SystemReset(),Perform system reset if MQTT publish fails repeatedly
OLED_Init(); OLED_Clear(),Initialize and clear OLED display
MX_TOF_Init(),Initialize the peripherals and the TOF components
MX_TOF_Process(),Run the TOF background task
MX_VL53L3CX_SimpleRanging_Init(),Initialize VL53L3CX for simple ranging
MX_VL53L3CX_SimpleRanging_Process(),Process VL53L3CX ranging data
CUSTOM_RANGING_SENSOR_Init(CUSTOM_VL53L3CX),Initialize VL53L3CX ranging sensor
"CUSTOM_RANGING_SENSOR_ReadID(CUSTOM_VL53L3CX, &Id)",Read VL53L3CX sensor ID
"CUSTOM_RANGING_SENSOR_GetCapabilities(CUSTOM_VL53L3CX, &Cap)",Get VL53L3CX sensor capabilities
"CUSTOM_RANGING_SENSOR_ConfigProfile(CUSTOM_VL53L3CX, &Profile)",Set the profile if different from default one
"CUSTOM_RANGING_SENSOR_Start(CUSTOM_VL53L3CX, RS_MODE_BLOCKING_CONTINUOUS)",Start VL53L3CX in blocking continuous mode
"CUSTOM_RANGING_SENSOR_GetDistance(CUSTOM_VL53L3CX, &Result)",Get distance measurement from VL53L3CX
BSP_COM_Init(COM1),Initialize Virtual COM Port
"HAL_UART_Receive_IT(&huart3, (uint8_t *) msg_str, strlen(""SP:10""))",Receive UART data for setpoint configuration
LCD_Init(&hlcd1),initialize LCD
"arm_pid_init_f32(&pid,1)",initialize PID
RCC_OscInitStruct.OscillatorType = RCC_OSCILLATORTYPE_HSE; RCC_OscInitStruct.HSEState = RCC_HSE_BYPASS; RCC_OscInitStruct.PLL.PLLState = RCC_PLL_ON; RCC_OscInitStruct.PLL.PLLSource = RCC_PLLSOURCE_HSE; RCC_OscInitStruct.PLL.PLLM = 4; RCC_OscInitStruct.PLL.PLLN = 216; RCC_OscInitStruct.PLL.PLLP = RCC_PLLP_DIV2; RCC_OscInitStruct.PLL.PLLQ = 3;,Initializes the RCC Oscillators
HAL_MspInit(),Initializes the Global MSP
HAL_CAN_MspInit(CAN_HandleTypeDef* hcan),CAN MSP Initialization
HAL_SPI_MspDeInit(SPI_HandleTypeDef* hspi),SPI MSP De-Initialization
HAL_TIM_OC_MspDeInit(TIM_HandleTypeDef* htim_oc),TIM_OC MSP De-Initialization
HAL_UART_MspInit(UART_HandleTypeDef* huart),UART MSP Initialization
HAL_UART_MspDeInit(UART_HandleTypeDef* huart),UART MSP De-Initialization
__HAL_RCC_AFIO_CLK_ENABLE(); __HAL_RCC_PWR_CLK_ENABLE(),Enable AFIO and PWR clocks
__HAL_AFIO_REMAP_SWJ_NOJTAG(),NOJTAG: JTAG-DP Disabled and SW-DP Enabled
MX_RTC_Init(),Initialize RTC Only
"HAL_RTC_SetTime(&hrtc, &sTime, RTC_FORMAT_BCD); HAL_RTC_SetDate(&hrtc, &sDate, RTC_FORMAT_BCD)",Initialize RTC and set the Time and Date
MX_X_CUBE_SUBG2_Process(),Process SubG2 application
RCC_OscInitStruct.OscillatorType = RCC_OSCILLATORTYPE_HSI|RCC_OSCILLATORTYPE_LSE; RCC_OscInitStruct.LSEState = RCC_LSE_ON; RCC_OscInitStruct.HSIState = RCC_HSI_ON; RCC_OscInitStruct.HSICalibrationValue = RCC_HSICALIBRATION_DEFAULT; RCC_OscInitStruct.PLL.PLLState = RCC_PLL_ON; RCC_OscInitStruct.PLL.PLLSource = RCC_PLLSOURCE_HSI; RCC_OscInitStruct.PLL.PLLMUL = RCC_PLL_MUL6; RCC_OscInitStruct.PLL.PLLDIV = RCC_PLL_DIV3;,Initializes the RCC Oscillators
MX_ADC1_Init(),ADC1 init function
"HAL_ADC_ConfigChannel(&hadc1, &sConfig)",Configure for the selected ADC regular channel its corresponding rank in the sequencer and its sample time
"HAL_ADCEx_InjectedConfigChannel(&hadc1, &sConfigInjected)",Configures for the selected ADC injected channel its corresponding rank in the sequencer and its sample time
HAL_ADC_MspInit(ADC_HandleTypeDef* adcHandle),Initialize ADC MSP
HAL_ADC_MspDeInit(ADC_HandleTypeDef* adcHandle),Deinitialize ADC MSP
"AdcGetValue(uint32_t *channel1, uint32_t *channel2)",Read ADC values from channels 1 and 2
